file_id,user_id,subforum_id,num_contexts,label,texts,group
12834217_2,572066,1346,0,noHate,"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .",train
12834217_4,572066,1346,0,hate,Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,train
12834493_1,572058,1396,0,hate,"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",train
12849464_2,575975,1346,0,noHate,I think you should write a book as well .,train
12849464_3,575975,1346,1,hate,"I 've always considered teaching as one of the professions I would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me .",test
12849464_4,575975,1346,1,hate,And the sad thing is the white students at those schools will act like that too .,test
12849464_5,575975,1346,1,noHate,"I guess I 'll just stick to homeschooling my kids , when and if I have them ...",train
12855154_1,576372,1346,0,hate,Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,train
12855497_1,575939,1346,0,noHate,This whole situation starts to become really bizarre .,test
12860820_1,573375,1346,0,hate,Greece need a man like Adolf Hitler and now is the perfect time to start a national political movement to free Your country from the zionist bankers,train
12869018_3,575841,1346,1,hate,He is a pathetic little chimp .,train
12870229_3,572066,1346,0,noHate,com/watch ? v = kBD6Gm6VoDM Then watch 8 min. Obama at AIPAC @ youtube .,train
12883101_1,577823,1345,4,hate,Try El Paso Texas Soo much mudd invasion that the river is the same color as those playing/crossing in it .. year round !,train
12883101_2,577823,1345,4,noHate,Welcome to the front lines ...,train
12904919_1,572076,1345,0,hate,"Here is a video of the event that is worth watching just to see a beautiful White lady screaming `` scum , scum , scum , f * * * ing scum !!! '' at the muslim filth .",train
12915702_1,575999,1345,0,noHate,Nice to know that are still a few men out there who `` have a pair '' .,train
13061184_1,577495,1345,1,hate,"I suppose the concept of a male cow and a female cow producing MORE cows , and the repeating process is too much for them to understand .",train
13061184_2,577495,1345,1,hate,May they all get mad cow disease .,train
13063290_1,578990,1345,0,noHate,That's all I needed to hear .,test
13063290_2,578990,1345,2,noHate,* Unsubscribed * Off to the SA threads .,train
13139571_1,572139,1345,3,noHate,I'm sad to find this out right now but I 'm also sorry to inform you that Kevin was killed several years ago .,train
13177001_4,579206,1345,1,noHate,"Hundreds of people , but no blacks !",train
13209219_1,575645,1345,0,noHate,"Over and over , you hear about home-schooled kids beating out public school kids for spelling bees .",train
13288494_1,572180,1345,6,noHate,Excellent Article !! * * * * * Why Were n't They In Jail ?,test
13288494_12,572180,1345,6,noHate,The Rest Of The Story,train
13293414_1,572180,1345,1,hate,"Nevermind, found the new page Knew it had to be a groid .... any report of rape ?",test
13391410_1,579214,1345,1,hate,they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy,train
13401474_2,581236,1345,2,hate,I hope they all starve .,train
13401474_3,581236,1345,2,hate,No white person should send a single penny or lift a single finger to help them .,train
13406897_1,579436,1345,0,hate,"He's a retarded feral negro ( yes , feral humans who cannot talk occasionally pop up , having been abandoned as children. ) .",test
13406897_2,579436,1345,0,hate,"He walks upright , and has human arms and legs .",train
13406897_3,579436,1345,0,hate,I 've seen negroes who look ( and undoubtedly act ) like him .,train
13422115_1,581373,1347,0,noHate,"Again, every time I will see filthy comment about Georgia without providing any facts , I will respond .",train
13422115_2,581373,1347,0,hate,I will respond until Armenian scum will stop,train
13433000_1,572042,1347,0,noHate,"The reason large white families were encouraged those days was to build up the population of white Germans , which were ravaged by the jewish attacks at them during WW1 and in hyperinflation 1920 's .",train
13434590_2,575709,1347,0,hate,Where a white woman can go about in public and not fear assault by muds .,train
13444199_1,581884,1347,3,hate,I retract - always .... Always because an animal lacks the skills to properly raise a ( half ) human child .,train
13446781_2,572067,1347,1,noHate,"I do n't think anyone is insinuating that we are equal to non whites , or that we would ignore white nations .",test
13446781_3,572067,1347,1,hate,When most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .,train
13446781_4,572067,1347,1,noHate,These people have no idea about who they are or where they came from and any knowledge that they do have has guilt attached to it .,test
13449094_1,579167,1347,0,hate,There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .,train
13454668_1,573278,1347,0,hate,Black ``women''on London transport ...,train
